source_id,item_id,source_type,num_docs,local_body_path
aws_eks_security_docs,eks_latest_best_practices_data_encryption_and_secrets_management_html,html,12,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aws_eks_security_docs/2026-05-27T192816Z/eks_latest_best_practices_data_encryption_and_secrets_management_html/body.html
aws_eks_security_docs,eks_latest_best_practices_incident_response_and_forensics_html,html,16,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aws_eks_security_docs/2026-05-27T192816Z/eks_latest_best_practices_incident_response_and_forensics_html/body.html
gke_security_docs,kubernetes_engine_docs_how_to_hardening_your_cluster,html,48,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/gke_security_docs/2026-05-27T192816Z/kubernetes_engine_docs_how_to_hardening_your_cluster/body.html
gke_security_docs,kubernetes_engine_docs_concepts_security_overview,html,24,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/gke_security_docs/2026-05-27T192816Z/kubernetes_engine_docs_concepts_security_overview/body.html
gke_security_docs,kubernetes_engine_docs_concepts_about_security_in_networking,html,7,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/gke_security_docs/2026-05-27T192816Z/kubernetes_engine_docs_concepts_about_security_in_networking/body.html
aks_security_docs,en_us_azure_aks_best_practices,html,10,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aks_security_docs/2026-05-27T192816Z/en_us_azure_aks_best_practices/body.html
aks_security_docs,en_us_azure_aks_operator_best_practices_container_image_management,html,5,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aks_security_docs/2026-05-27T192816Z/en_us_azure_aks_operator_best_practices_container_image_management/body.html
aks_security_docs,en_us_azure_aks_network_policy_best_practices,html,27,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aks_security_docs/2026-05-27T192816Z/en_us_azure_aks_network_policy_best_practices/body.html
aks_security_docs,en_us_azure_aks_secure_container_access,html,24,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aks_security_docs/2026-05-27T192816Z/en_us_azure_aks_secure_container_access/body.html
kubescape_security_docs,docs_frameworks_and_controls,html,3,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/kubescape_security_docs/2026-05-27T192816Z/docs_frameworks_and_controls/body.html
kubescape_security_docs,docs_controls,html,1,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/kubescape_security_docs/2026-05-27T192816Z/docs_controls/body.html
kubescape_security_docs,docs_scanning,html,12,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/kubescape_security_docs/2026-05-27T192816Z/docs_scanning/body.html
kubescape_security_docs,docs_guides_kubescape_cli,html,13,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/kubescape_security_docs/2026-05-27T192816Z/docs_guides_kubescape_cli/body.html
kubescape_security_docs,docs_operator,html,8,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/kubescape_security_docs/2026-05-27T192816Z/docs_operator/body.html
gatekeeper_policy_docs,gatekeeper_website,html,5,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/gatekeeper_policy_docs/2026-05-27T192816Z/gatekeeper_website/body.html
gatekeeper_policy_docs,gatekeeper_website_docs_library,html,1,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/gatekeeper_policy_docs/2026-05-27T192816Z/gatekeeper_website_docs_library/body.html
gatekeeper_policy_docs,gatekeeper_website_docs_security,html,4,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/gatekeeper_policy_docs/2026-05-27T192816Z/gatekeeper_website_docs_security/body.html
